n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
73,7300,240955733.0,158053815.26,9855000.0,16866901.310000002,15002850.0,19276458.64,61001209.95,97052605.30999999,-23616541.000000015,0.6259637420343918,0.8042868312059743,0.4607020587555886,285080.65,547542.55,0.5206547874681154,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
74,7400,242307283.0,158906885.52,9990000.0,16961509.810000002,15220200.0,19384582.64,61556292.45,97350593.07000001,-23318553.239999995,0.6294748487634713,0.8067562922829135,0.46489423216885056,297987.76,555082.5,0.5368350830732369,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
75,7500,244943227.0,160562882.73000002,10125000.0,17146025.89,15453350.0,19595458.16,62319834.05,98243048.68000002,-22426097.62999998,0.6363226018735129,0.8141521812677189,0.47066076019925945,892455.6099999999,763541.6000000001,1.168836917333646,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
76,7600,246345628.0,161458191.75,10260000.0,17244193.96,15670850.0,19707650.24,62882694.2,98575497.55,-22093648.760000005,0.6399658112168356,0.8169072257854444,0.47491167309277466,332448.87,562860.15,0.5906420449200391,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
77,7700,247301312.0,162065148.23000002,10395000.0,17311091.840000004,15873850.0,19784104.96,63364046.800000004,98701101.43,-21968044.879999995,0.6424485225654898,0.817948120528143,0.47854701301454217,125603.88,481352.6,0.26093944439066086,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
78,7800,248642740.0,162977319.26999998,10530000.0,17404991.8,16033850.0,19891419.200000003,63860261.0,99117058.26999997,-21552088.040000036,0.6459333339874687,0.8213952058247553,0.482294592836502,415956.8400000001,496214.19999999995,0.8382606543706329,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
79,7900,250018530.0,163912856.47,10665000.0,17501297.1,16193850.0,20001482.4,64361629.5,99551226.97,-21117919.340000004,0.6495074122877907,0.8249932150365272,0.4860810996998007,434168.70000000007,501368.5,0.8659672476432007,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
80,8000,251209952.0,164723023.43,10800000.0,17584696.640000004,16353850.0,20096796.16,64835342.8,99887680.63,-20781465.680000007,0.6526025325581273,0.8277814477396546,0.489658745007964,336453.6599999999,473713.30000000005,0.7102474429153665,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
81,8100,253397573.0,166210605.71,10935000.0,17737830.11,16513850.0,20271805.839999996,65458485.949999996,100752119.76000002,-19917026.549999982,0.6582856155471218,0.8349451607220874,0.49436493579237223,864439.13,623143.15,1.3872239950001857,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
82,8200,255895140.0,167908471.27,11070000.0,17912659.8,16725350.0,20471611.200000003,66179621.0,101728850.27,-18940296.040000007,0.6647738877531275,0.8430394461286547,0.4998111950132652,976730.51,721135.05,1.3544349425256752,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
83,8300,257988424.0,169331904.39,11205000.0,18059189.680000003,16935150.0,20639073.919999998,66838413.60000001,102493490.78999998,-18175655.520000026,0.6702118985838584,0.8493761158025712,0.5047866226705482,764640.5200000001,658792.6,1.1606695642907952,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
84,8400,258957608.0,169954831.37,11340000.0,18127032.560000002,17126350.0,20716608.64,67309991.2,102644840.17,-18024306.14,0.6727296807333285,0.8506303666581396,0.5083481384398434,151349.38,471577.6,0.3209426826040932,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
