lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
1.5,1.3225,0.355,8075,335314018.0,443452788.805,384935607.0,58517181.80500001,15.201810573216212
1.5,1.32,0.36,8189,337407646.0,445378092.72,384935607.0,60442485.72000003,15.701973166644478
1.5,1.3175,0.365,8302,338818917.0,446393923.1475,384935607.0,61458316.14749998,15.965869363573827
1.5,1.315,0.37,8416,340044787.0,447158894.905,384935607.0,62223287.90499997,16.16459656458853
1.5,1.3125,0.375,8530,340705354.0,447175777.125,384935607.0,62240170.125,16.16898229032888
1.5,1.31,0.38,8643,341260311.0,447051007.41,384935607.0,62115400.410000026,16.13656915090218
1.5,1.3075,0.385,8757,342661300.0,448029649.75000006,384935607.0,63094042.75000006,16.390804488502432
1.5,1.305,0.39,8871,343767987.0,448617223.03499997,384935607.0,63681616.03499997,16.543446456227674
1.5,1.3025,0.395,8985,344603689.0,448846304.9225,384935607.0,63910697.922500014,16.602958198798177
1.5,1.3,0.4,9098,345558383.0,449225897.90000004,384935607.0,64290290.900000036,16.70157027068686
1.5,1.2975,0.405,9212,347882422.0,451377442.54499996,384935607.0,66441835.54499996,17.260506520250264
1.5,1.295,0.41,9326,349820916.0,453018086.21999997,384935607.0,68082479.21999997,17.686719020513998
1.5,1.2925,0.415,9440,351199869.0,453925830.6825,384935607.0,68990223.6825,17.922536244484142
1.5,1.29,0.42,9553,352735115.0,455028298.35,384935607.0,70092691.35000002,18.208939385022905
1.5,1.2875,0.425,9667,353368017.0,454961321.88750005,384935607.0,70025714.88750005,18.19153999112897
1.5,1.285,0.43,9781,354038923.0,454940016.05500007,384935607.0,70004409.05500007,18.186005082922897
1.5,1.2825,0.435,9895,355441431.0,455853635.2575,384935607.0,70918028.2575,18.423348468643997
1.5,1.28,0.44,10008,355653182.0,455236072.96000004,384935607.0,70300465.96000004,18.26291584399986
1.5,1.2775,0.445,10122,357884588.0,457197561.16999996,384935607.0,72261954.16999996,18.77247852781776
1.5,1.275,0.45,10236,359499660.0,458362066.49999994,384935607.0,73426459.49999994,19.074998042464774
1.5,1.2725,0.455,10349,360746780.0,459050277.55,384935607.0,74114670.55000001,19.25378406212237
1.5,1.27,0.46,10463,361411229.0,458992260.83,384935607.0,74056653.82999998,19.238712263373436
1.5,1.2675,0.465,10577,361888113.0,458693183.2275,384935607.0,73757576.22750002,19.16101677429389
1.5,1.265,0.47,10691,362334418.0,458353038.77000004,384935607.0,73417431.77000004,19.072652785274812
1.5,1.2625,0.475,10804,363260358.0,458616201.97499996,384935607.0,73680594.97499996,19.141018298938484
1.5,1.26,0.48,10918,363846481.0,458446566.06,384935607.0,73510959.06,19.096949651633555
1.5,1.2575,0.485,11032,364989399.0,458974169.2425,384935607.0,74038562.2425,19.23401236365749
1.5,1.255,0.49,11146,365323018.0,458480387.59,384935607.0,73544780.58999997,19.105735934166248
1.5,1.2525,0.495,11259,366155426.0,458609671.065,384935607.0,73674064.065,19.139321674910683
1.5,1.25,0.5,11373,367192272.0,458990340.0,384935607.0,74054733.0,19.238213263030257
1.5,1.2475,0.505,11487,368147338.0,459263804.15500003,384935607.0,74328197.15500003,19.30925479569887
1.5,1.245,0.51,11600,368684656.0,459012396.72,384935607.0,74076789.72000003,19.2439432395767
1.5,1.2425,0.515,11714,368940199.0,458408197.2575,384935607.0,73472590.2575,19.086982061781566
1.5,1.24,0.52,11828,369580701.0,458280069.24,384935607.0,73344462.24000001,19.05369649007296
1.5,1.2375,0.525,11942,369899036.0,457750057.05,384935607.0,72814450.05000001,18.916007957143854
1.5,1.235,0.53,12055,370206348.0,457204839.78,384935607.0,72269232.77999997,18.774369392125358
1.5,1.2325,0.535,12169,370660807.0,456839444.6275,384935607.0,71903837.6275,18.67944568388551
1.5,1.23,0.54,12283,371120771.0,456478548.33,384935607.0,71542941.32999998,18.58569070488716
1.5,1.2275,0.545,12397,371466794.0,455975489.635,384935607.0,71039882.63499999,18.455004250879803
1.5,1.225,0.55,12510,371785194.0,455436862.65000004,384935607.0,70501255.65000004,18.315077734546925
1.5,1.2225,0.555,12624,371958063.0,454718732.0175,384935607.0,69783125.01749998,18.128519094753415
1.5,1.22,0.56,12738,372688807.0,454680344.53999996,384935607.0,69744737.53999996,18.11854665344066
1.5,1.2175,0.565,12851,372993169.0,454119183.2575,384935607.0,69183576.2575,17.97276609370668
1.5,1.215,0.57,12965,373422159.0,453707923.18499994,384935607.0,68772316.18499994,17.865927426401985
1.5,1.2125,0.575,13079,373757185.0,453180586.81249994,384935607.0,68244979.81249994,17.72893402726965
1.5,1.21,0.58,13193,373825286.0,452328596.06,384935607.0,67392989.06,17.50760070891546
1.5,1.2075,0.585,13306,373946359.0,451540228.4925,384935607.0,66604621.49250001,17.302795657586433
1.5,1.205,0.59,13420,374022692.0,450697343.86,384935607.0,65761736.860000014,17.083827960867225
1.5,1.2025,0.595,13534,374116728.0,449875365.4200001,384935607.0,64939758.42000008,16.870291352392375
1.5,1.2,0.6,13648,374468312.0,449361974.4,384935607.0,64426367.399999976,16.73692072866617
1.5,1.1975,0.605,13761,374646245.0,448638878.3875,384935607.0,63703271.38749999,16.549072164035984
1.5,1.195,0.61,13875,374836912.0,447930109.84000003,384935607.0,62994502.84000003,16.364945641414774
1.5,1.1925,0.615,13989,375791160.0,448130958.29999995,384935607.0,63195351.29999995,16.417122799450446
1.5,1.19,0.62,14103,376008743.0,447450404.16999996,384935607.0,62514797.16999996,16.240325922875698
1.5,1.1875,0.625,14216,376302432.0,446859138.0,384935607.0,61923531.0,16.086724603785484
1.5,1.185,0.63,14330,376478528.0,446127055.68,384935607.0,61191448.68000001,15.896541542856024
1.5,1.1825,0.635,14444,376593454.0,445321759.355,384935607.0,60386152.35500002,15.687338676102257
1.5,1.18,0.64,14557,377117745.0,444998939.09999996,384935607.0,60063332.099999964,15.603475232677022
1.5,1.1775,0.645,14671,377238869.0,444198768.2475,384935607.0,59263161.2475,15.395603880183529
1.5,1.175,0.65,14785,377549665.0,443620856.375,384935607.0,58685249.375,15.2454717900389
1.5,1.1725,0.655,14899,378874189.0,444229986.60249996,384935607.0,59294379.60249996,15.40371390025761
1.5,1.17,0.66,15012,378927781.0,443345503.77,384935607.0,58409896.76999998,15.17393966882361
1.5,1.1675,0.665,15126,379677936.0,443273990.28,384935607.0,58338383.27999997,15.1553616290945
1.5,1.165,0.67,15240,379723661.0,442378065.065,384935607.0,57442458.065,14.922614853086325
